,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,sentiment
944,944,2018-01-12,164.02,164.74,163.03,163.14,5031298.0,0.0,1.0,155.05466249688018,155.73530727799073,154.11877592285313,154.22276331996724,5031298.0,5.0
945,945,2018-01-16,165.1,165.29,163.35,163.85,7794195.0,0.0,1.0,156.07562966854601,156.25524426356128,154.42128471445784,154.89395470134016,7794195.0,6.0
946,946,2018-01-17,168.01,169.1253,167.26,168.65,11695259.0,0.0,1.0,158.82656899220115,159.8809066649409,158.11756401187768,159.43158657541056,11695259.0,-4.0
947,947,2018-01-18,170.0,171.13,168.15,169.12,14110983.0,0.0,1.0,160.70779553999284,161.7760297103469,158.95891658852824,159.87589636307996,14110983.0,8.0
948,948,2018-01-19,164.46,165.4,161.3,162.37,21126845.0,0.0,1.0,155.47061208533663,156.35923166067542,152.48333776824032,153.49485154016847,21126845.0,0.0
949,949,2018-01-22,161.51,163.98,161.11,162.6,8480795.0,0.0,1.0,152.68185916273086,155.0168488979296,152.303723173225,153.71227973413434,8480795.0,-5.0
950,950,2018-01-23,162.82,166.26,162.51,166.25,7466232.0,0.0,1.0,153.92025452836256,157.172224038113,153.6271991364955,157.16277063837538,7466232.0,1.0
951,951,2018-01-24,166.75,168.72,164.82,165.37,5645003.0,0.0,1.0,157.63544062525767,159.4977603735741,155.81093447589188,156.33087146146246,5645003.0,2.0
952,952,2018-01-25,165.91,166.78,165.19,165.47,3302520.0,0.0,1.0,156.84135504729537,157.66380082447063,156.1607102661848,156.4254054588389,3302520.0,-7.0
953,953,2018-01-26,166.12,167.4142,165.79,167.34,3787913.0,0.0,1.0,157.03987644178596,158.2633354358322,156.7279142504436,158.1931912097789,3787913.0,-6.0
954,954,2018-01-29,167.45,168.39,166.01,166.8,3516995.0,0.0,1.0,158.29717860689294,159.18579818223176,156.93588904467182,157.6827076239459,3516995.0,-8.0
955,955,2018-01-30,166.21,166.77,163.155,163.62,4902341.0,0.0,1.0,157.12495703942474,157.654347424733,154.23694341957372,154.67652650737432,4902341.0,-7.0
956,956,2018-01-31,163.75,164.99,162.761,163.7,4072830.0,0.0,1.0,154.79942070396368,155.9716422714319,153.86447946991044,154.75215370527545,4072830.0,-5.0
957,957,2018-02-01,163.19,164.13,161.9,162.4,4434242.0,0.0,1.0,154.2700303186555,155.15864989399427,153.05054175249907,153.5232117393814,4434242.0,9.0
958,958,2018-02-02,161.7,162.0,158.8663,159.03,5250440.0,0.0,1.0,152.86147375774613,153.14507574987553,150.18266387408917,150.3374160277945,5250440.0,6.0
959,959,2018-02-05,157.89,158.5,150.0,152.53,8746599.0,0.0,1.0,149.25972845770275,149.83638584169918,141.8009960646996,144.19270619832417,8746599.0,-10.0
960,960,2018-02-06,150.29,155.49,149.11,155.34,9867678.0,0.0,1.0,142.0751446570913,146.9909125206676,140.95964348804904,146.84911152460288,9867678.0,5.0
961,961,2018-02-07,154.17,155.34,153.28,153.85,6149207.0,0.0,1.0,145.74306375529818,146.84911152460288,144.9017111786477,145.44055496369353,6149207.0,0.0
962,962,2018-02-08,152.48,153.16,147.5,147.59,6779095.0,1.5,1.0,145.61043112862473,146.25979559063592,140.8547913921311,140.94073668857374,6779095.0,-4.0
963,963,2018-02-09,148.6,150.54,144.3955,149.51,7827539.0,0.0,1.0,141.905233904208,143.75783251641639,137.89015613872857,142.77423634601706,7827539.0,-4.0
964,964,2018-02-12,150.9,152.4,150.3,151.4,5881377.0,0.0,1.0,144.101613702187,145.5340353095646,143.52864505923597,144.57908757131287,5881377.0,0.0
965,965,2018-02-13,150.9,151.179,149.64,150.75,4865338.0,0.0,1.0,144.101613702187,144.36804412115922,142.8983795519898,143.95837154144922,4865338.0,0.0
966,966,2018-02-14,150.19,155.0,150.0,154.76,5479033.0,0.0,1.0,143.42360080802825,148.01689942901908,143.24216073776043,147.7877119718387,5479033.0,-9.0
967,967,2018-02-15,155.5,156.86,153.7,156.01,5623581.0,0.0,1.0,148.49437329814498,149.79310222216742,146.77546736929185,148.98139664465342,5623581.0,3.0
968,968,2018-02-16,155.71,157.7905,155.69,156.18,4282908.0,0.0,1.0,148.69491232317785,150.68168109261057,148.67581336841283,149.1437377601561,4282908.0,-10.0
969,969,2018-02-20,155.79,155.96,153.87,155.16,4489604.0,0.0,1.0,148.77130814223796,148.93364925774074,146.93780848479466,148.16969106713938,4489604.0,-4.0
970,970,2018-02-21,155.43,156.79,153.9,153.96,3728571.0,0.0,1.0,148.42752695646737,149.7262558804897,146.9664569169422,147.0237537812373,3728571.0,5.0
971,971,2018-02-22,154.5,155.04,152.79,153.18,4024627.0,0.0,1.0,147.53942555989323,148.05509733854916,145.90646492748274,146.27889454540096,4024627.0,-8.0
972,972,2018-02-23,154.3,155.855,154.07,155.52,3256074.0,0.0,1.0,147.3484360122429,148.8333797452243,147.128798032445,148.51347225291002,3256074.0,6.0
973,973,2018-02-26,155.81,158.88,155.51,158.58,3610196.0,0.0,1.0,148.79040709700303,151.72209665343584,148.50392277552749,151.43561233196033,3610196.0,-7.0
974,974,2018-02-27,158.46,159.78,156.53,156.55,4237283.0,0.0,1.0,151.32101860337013,152.5815496178624,149.47796946854427,149.49706842330932,4237283.0,-6.0
975,975,2018-02-28,157.5,158.1399,155.8,155.83,3803512.0,0.0,1.0,150.40426877464844,151.01533983235575,148.78085761962052,148.8095060517681,3803512.0,7.0
976,976,2018-03-01,155.53,156.9742,152.79,153.81,4039339.0,0.0,1.0,148.52302173029253,149.90215725387569,145.90646492748274,146.88051162049953,4039339.0,-6.0
977,977,2018-03-02,152.79,154.76,151.88,154.49,3261141.0,0.0,1.0,145.90646492748274,147.7877119718387,145.0374624856737,147.52987608251073,3261141.0,2.0
978,978,2018-03-05,154.12,157.49,153.75,156.95,3670630.0,0.0,1.0,147.17654541935758,150.39471929726594,146.82321475620444,149.87904751860995,3670630.0,5.0
979,979,2018-03-06,157.28,157.89,155.1568,155.72,3594049.0,0.0,1.0,150.1941802722331,150.77669839256657,148.166635234377,148.70446180056038,3594049.0,-7.0
980,980,2018-03-07,155.0,158.83,154.73,158.32,4607677.0,0.0,1.0,148.01689942901908,151.67434926652328,147.75906353969108,151.18732592001487,4607677.0,6.0
981,981,2018-03-08,159.0,159.57,155.07,156.21,6455612.0,0.0,1.0,151.83669038202606,152.38101059282954,148.08374577069668,149.17238619230372,6455612.0,8.0
982,982,2018-03-09,157.47,159.5825,157.3,159.31,5022238.0,0.0,1.0,150.37562034250092,152.39294743955767,150.2132792269981,152.13272418088408,5022238.0,3.0
983,983,2018-03-12,159.64,161.02,158.87,160.26,5063396.0,0.0,1.0,152.44785693450712,153.76568481329457,151.7125471760533,153.03992453222324,5063396.0,-1.0
984,984,2018-03-13,160.09,162.1122,158.81,159.32,4184890.0,0.0,1.0,152.87758341672046,154.8086787330131,151.65525031175824,152.1422736582666,4184890.0,-2.0
985,985,2018-03-14,160.17,160.68,157.74,158.12,3631825.0,0.0,1.0,152.95397923578057,153.44100258228897,150.6334562318289,150.99633637236454,3631825.0,-6.0
986,986,2018-03-15,158.71,161.25,158.52,159.61,3870595.0,0.0,1.0,151.55975553793306,153.98532279309245,151.37831546766526,152.41920850235962,3870595.0,-4.0
987,987,2018-03-16,160.06,161.98,159.64,160.26,9262656.0,0.0,1.0,152.8489349845729,154.68243464201618,152.44785693450712,153.03992453222324,9262656.0,0.0
988,988,2018-03-19,159.71,159.8899,156.45,157.35,5481983.0,0.0,1.0,152.5147032761848,152.68649837429632,149.4015736494841,150.2610266139107,5481983.0,-10.0
989,989,2018-03-20,157.52,157.93,155.29,156.2,4336738.0,0.0,1.0,150.42336772941348,150.81489630209668,148.29383427311208,149.16283671492118,4336738.0,-9.0
990,990,2018-03-21,156.57,158.2,155.92,156.69,3482184.0,0.0,1.0,149.51616737807433,151.07273219142462,148.89545134821068,149.63076110666455,3482184.0,-9.0
991,991,2018-03-22,155.0,155.2499,152.0,152.09,4746349.0,0.0,1.0,148.01689942901908,148.25554086880825,145.1520562142639,145.23800151070657,4746349.0,5.0
992,992,2018-03-23,152.25,152.58,148.541,148.89,4440883.0,0.0,1.0,145.39079314882684,145.7059259024499,141.84889198765111,142.182168748301,4440883.0,3.0
993,993,2018-03-26,151.21,153.657,150.28,153.37,4103904.0,0.0,1.0,144.39764750104504,146.73440461654704,143.5095461044709,146.46033461566878,4103904.0,5.0
994,994,2018-03-27,153.95,154.8697,151.16,151.91,3883745.0,0.0,1.0,147.01420430385474,147.8924697387249,144.3499001141324,145.06611091782125,3883745.0,-9.0
995,995,2018-03-28,152.07,153.86,151.89,152.52,3664826.0,0.0,1.0,145.21890255594153,146.92825900741215,145.04701196305618,145.6486290381548,3664826.0,7.0
996,996,2018-03-29,153.07,153.89,151.08,153.43,3419959.0,0.0,1.0,146.17385029419324,146.9569074395597,144.2735042950723,146.51763147996388,3419959.0,1.0
997,997,2018-04-02,153.34,153.38,148.43,150.07,5150435.0,0.0,1.0,146.43168618352126,146.46988409305132,141.7428927887052,143.30900707943803,5150435.0,-9.0
998,998,2018-04-03,150.8,151.0,148.3,149.85,4135531.0,0.0,1.0,144.00611892836181,144.1971084760122,141.61874958273248,143.09891857702266,4135531.0,9.0
999,999,2018-04-04,147.89,154.47,147.45,154.12,4804026.0,0.0,1.0,141.22722101004925,147.51077712774568,140.8070440052185,147.17654541935758,4804026.0,-7.0
1000,1000,2018-04-05,154.44,154.92,153.34,154.03,3182133.0,0.0,1.0,147.48212869559813,147.94050360995897,146.43168618352126,147.09060012291494,3182133.0,0.0
